007	1	8	38
082	1	8	40
053	1	8	0
219	1	8	20
345	1	8	35
007	1	15	36
082	1	15	30
053	1	15	34
219	1	15	20
345	1	15	40
007	1	22	40
082	1	22	40
053	1	22	36
219	1	22	18
345	1	22	36
007	1	29	39
082	1	29	0
053	1	29	37
219	1	29	16
345	1	29	35
053	2	5	40
345	2	5	40
007	2	5	18
028	2	5	36
082	2	5	35
219	2	5	20
053	2	12	40
345	2	12	40
007	2	12	18
028	2	12	36
082	2	12	35
219	2	12	20
053	2	19	0
345	2	19	40
007	2	19	18
028	2	19	36
082	2	19	35
219	2	19	20
053	2	26	40
345	2	26	40
007	2	26	20
028	2	26	40
082	2	26	40
219	2	26	20
053	3	5	40
345	3	5	30
007	3	5	38
028	3	5	30
082	3	5	40
219	3	5	20
053	3	12	40
345	3	12	40
007	3	12	18
028	3	12	40
082	3	12	35
219	3	12	12
053	3	19	40
345	3	19	40
007	3	19	36
028	3	19	40
082	3	19	35
219	3	19	14
053	3	26	30
345	3	26	36
007	3	26	40
028	3	26	36
082	3	26	38
219	3	26	0
007	4	2	40
007	4	9	40
007	4	16	40
082	4	2	32
082	4	9	40
082	4	16	38
219	4	2	20
219	4	9	19
219	4	16	20
345	4	2	40
345	4	9	40
345	4	16	40
028	4	2	32
028	4	9	32
028	4	16	40
